0:0:0:0:0:0:0:0,2001:4:ffff:ffff:ffff:ffff:ffff:ffff,1840000000
2001:0209:0:0:0:0:0:0,2001:0217:ffff:ffff:ffff:ffff:ffff:ffff,1000000000
2001:5:0:0:0:0:0:0,2001:5:7:ffff:ffff:ffff:ffff:ffff,1000000000
2001:0250:0240:0:0:0:0:0,2001:0250:03ff:ffff:ffff:ffff:ffff:ffff,1156000000
2001:5:9:0:0:0:0:0,2001:01ff:ffff:ffff:ffff:ffff:ffff:ffff,1000000000
2001:0250:0408:0:0:0:0:0,2001:0250:07ff:ffff:ffff:ffff:ffff:ffff,1156000000
2001:0200:0:0:0:0:0:0,2001:0200:ffff:ffff:ffff:ffff:ffff:ffff,1392000000
2001:5:8:0:0:0:0:0,2001:5:8:ffff:ffff:ffff:ffff:ffff,1792000000
2001:0231:0:0:0:0:0:0,2001:0237:ffff:ffff:ffff:ffff:ffff:ffff,1000000000
2001:0201:0:0:0:0:0:0,2001:0207:ffff:ffff:ffff:ffff:ffff:ffff,1000000000
2001:0218:600b:0:0:0:0:0,2001:0218:ffff:ffff:ffff:ffff:ffff:ffff,1392000000
2001:0208:0:0:0:0:0:0,2001:0208:ffff:ffff:ffff:ffff:ffff:ffff,1702000000
2001:0218:0:0:0:0:0:0,2001:0218:0:3fff:ffff:ffff:ffff:ffff,1392000000
2001:0250:0:0:0:0:0:0,2001:0250:01ff:ffff:ffff:ffff:ffff:ffff,1156000000
2001:0218:0:4000:0:0:0:0,2001:0218:0:4000:ffff:ffff:ffff:ffff,1344000000
2001:0239:0:0:0:0:0:0,2001:023f:ffff:ffff:ffff:ffff:ffff:ffff,1000000000
2001:0218:0:4001:0:0:0:0,2001:0218:6009:ffff:ffff:ffff:ffff:ffff,1392000000
2001:0250:0200:0:0:0:0:0,2001:0250:023f:ffff:ffff:ffff:ffff:ffff,1156110000
2001:0218:600a:0:0:0:0:0,2001:0218:600a:ffff:ffff:ffff:ffff:ffff,1344000000
2001:0219:0:0:0:0:0:0,2001:021f:ffff:ffff:ffff:ffff:ffff:ffff,1000000000
2001:0221:0:0:0:0:0:0,2001:022f:ffff:ffff:ffff:ffff:ffff:ffff,1000000000
2001:0230:0:0:0:0:0:0,2001:0230:ffff:ffff:ffff:ffff:ffff:ffff,1410000000
2001:0250:0801:0:0:0:0:0,2001:0250:0801:ffff:ffff:ffff:ffff:ffff,1156130600
2001:0238:0:0:0:0:0:0,2001:0238:ffff:ffff:ffff:ffff:ffff:ffff,1158000000
2001:0240:0:0:0:0:0:0,2001:0240:ffff:ffff:ffff:ffff:ffff:ffff,1392000000
2001:0241:0:0:0:0:0:0,2001:024f:ffff:ffff:ffff:ffff:ffff:ffff,1000000000
2001:0220:0:0:0:0:0:0,2001:0220:ffff:ffff:ffff:ffff:ffff:ffff,1410000000
2001:0250:0400:0:0:0:0:0,2001:0250:0407:ffff:ffff:ffff:ffff:ffff,1156120000
2001:0250:0800:0:0:0:0:0,2001:0250:0800:ffff:ffff:ffff:ffff:ffff,1156130100
